user_id,username,follower_count,verified,location,bot_label,location_id
132131,flong,2353,False,Adkinston,1,1
289683,hinesstephanie,9617,True,Sanderston,0,2
779715,roberttran,4363,True,Harrisonfurt,0,3
696168,pmason,2242,True,Martinezberg,1,4
704441,noah87,8438,False,Camachoville,1,5
570928,james00,3792,True,West Cheyenne,1,6
734182,leonard00,10,True,South Donald,0,7
107312,lesterdaniel,1442,False,Smithhaven,1,8
549888,kimberlymorris,836,False,Lake Brittanyville,0,9
117640,schmittjill,6523,False,West Hannahborough,1,10
576805,hicksanthony,8694,False,Harrisbury,1,11
758550,hooperdennis,5986,True,Rossmouth,1,12
383629,rcruz,6779,False,Juliehaven,0,13
850918,dstewart,6073,True,Port Jessicaborough,0,14
675134,tracibell,4846,False,Susanville,0,15
607798,juliesmith,2342,False,Griffithfort,0,16
946597,thomasbenjamin,6947,False,Port Mia,1,17
212211,matthewbell,7945,False,Charlesburgh,0,18
595841,frobinson,8305,True,West Donnaview,1,19
295469,urobinson,1256,False,Maureenfort,0,20
463487,hernandezchristian,653,True,Lake Jose,1,21
343343,justindudley,5466,False,Lake Marvinshire,0,22
631945,owright,5131,True,Lake Nancyborough,1,23
926923,tbecker,5278,False,Lindamouth,1,24
127337,nthompson,3347,True,Port Morganshire,1,25
580954,monique95,4851,False,East Erin,0,26
432390,berryemily,7600,False,Bakerberg,1,27
131479,thomas43,706,False,North Heidihaven,1,28
811404,bryan62,7313,True,Port Jennifer,1,29
138974,owensbenjamin,337,False,Franciscoton,1,30
267991,jwu,7006,False,North Josephville,0,31
688953,craigmiller,697,True,Port Melanie,0,32
391036,amysmith,4517,True,Russellville,0,33
194223,jacobscarla,1785,True,South Heather,0,34
238448,xzimmerman,4057,True,West Peterview,1,35
381356,xbaker,7925,False,Rochaville,0,36
387922,karenlopez,2804,True,North Jasonfurt,1,37
150095,hannahross,3544,True,Brianmouth,1,38
344916,dschultz,2063,False,Jacobsstad,0,39
558415,jessica19,466,False,Rodriguezstad,0,40
725104,julieflynn,2852,False,Schultzborough,1,41
814899,garciavickie,3782,True,Kingfort,0,42
187298,shepherdmichael,4581,False,Port Laurenfurt,0,43
763755,eric75,6979,False,New Mary,0,44
593693,kgarcia,7523,True,Mitchellmouth,0,45
388689,cgilbert,3755,False,Hartfurt,0,46
233166,bettymorton,6933,False,Tannermouth,0,47
460341,oharvey,8386,False,Port Brentshire,1,48
180001,miranda16,4096,False,Nguyenside,1,49
635556,wheelerlarry,7967,False,North Jamieshire,1,50
522978,lukewiley,5785,True,East Leslieport,0,51
200604,reginaldsmith,7504,True,West Crystal,0,52
105383,michaelpetty,7074,False,East Carol,0,53
